ICSDVolume_composition_average,IsFCC_arithmetic_average,BCCmagmom_composition_average,HeatCapacityMass_arithmetic_average,SpecificHeatCapacity_arithmetic_average,NdValence_composition_average,FirstIonizationEnergy_composition_average,ThermalExpansionCoefficient_arithmetic_average,IonizationEnergy_composition_average,ThermalConductivity_composition_average,GSenergy_pa_composition_average,ElasticModulus_difference,Electrolyte class_0,n_ws^third_difference,GSestBCClatcnt_composition_average,SpaceGroupNumber_composition_average,Electrolyte class_3,IonicRadii_composition_average,Electrolyte class_1,CovalentRadius_composition_average,phi_arithmetic_average,NUnfilled_composition_average,CovalentRadii_arithmetic_average,AtomicVolume_arithmetic_average,NUnfilled_arithmetic_average,HHIr_composition_average,CovalentRadii_composition_average,GSvolume_pa_composition_average,BCCenergy_pa_composition_average,HeatVaporization_arithmetic_average,GSestFCClatcnt_composition_average,ThirdIonizationEnergy_composition_average,NdUnfilled_composition_average,Electronegativity_composition_average,ElectricalConductivity_composition_average,ElectronAffinity_composition_average,HeatFusion_composition_average,BoilingT_composition_average,HeatCapacityMolar_composition_average,ElasticModulus_arithmetic_average,AtomicRadii_composition_average,Polarizability_composition_average,BCCfermi_composition_average,ElectricalConductivity_difference,ElasticModulus_composition_average,ThirdIonizationEnergy_arithmetic_average,ShearModulus_composition_average,MendeleevNumber_composition_average,FirstIonizationEnergy_arithmetic_average,HHIp_composition_average
24.559183673469384,0.0,0.3267262448979591,0.4514,0.4518,1.326530612244898,10.881167265306122,166.54,1049.6265306122448,22.198408163265302,-4.821274933775509,198.0,1.0,0.96,3.106377522244898,91.14285714285714,0.0,1.2463265306122446,0.0,106.63265306122447,3.28,1.9591836734693877,1.2759999999999998,3739.588361359413,3.2,1351.020408163265,1.0514285714285714,19.52683673469388,-3.4005947934693874,311.30218,3.913790429142857,40.18085714285714,0.7142857142857142,2.6455102040816323,3.663265306122448,89.77551020408161,4.93265306122449,1136.2244897959183,28.213061224489795,107.2,1.1135102040816325,9.517551020408163,3.416132312653061,15.099999999999998,42.836734693877546,28.825,15.73673469387755,66.40816326530611,8.2743948,1571.428571428571
26.608888888888888,0.0,0.3180959155555555,0.4466,0.447,1.4555555555555555,10.439127,167.4,1006.7144444444444,23.56488888888889,-4.591348627722223,195.0,0.0,0.94,3.2196281809666667,98.64444444444445,0.0,1.244222222222222,1.0,113.66666666666666,2.964,1.9111111111111112,1.354,3745.731015769601,3.4,1465.5555555555557,1.112888888888889,21.98483333333333,-3.2928784827777777,200.14218,4.056477317977778,37.68087777777777,0.7666666666666666,2.5166666666666666,4.046666666666666,81.67999999999999,5.201177777777778,1220.088888888889,28.095888888888886,67.0,1.1901444444444444,11.084444444444443,3.415814430555556,17.0,44.33333333333333,27.7506,16.03333333333333,62.488888888888894,8.111542799999999,1711.1111111111113
25.093,0.25,0.42213256,0.5545,0.555,1.2,10.80265776,208.675,1041.649,21.69644,-4.89612454005,198.0,1.0,0.96,3.13208442033,98.76,0.0,1.2298,0.0,108.61,2.45,2.0,1.4049999999999998,4677.970250109028,1.5,1032.0,1.0656,20.068800000000003,-3.5176896595,161.945225,3.94617909126,39.59968,0.8,2.6091,3.085,78.02,4.332199999999999,1105.6,28.23939,61.25,1.1277,9.961533333333,3.4673047528,28.5,44.88,34.12325,17.404999999999998,64.98,8.2113185,1389.0
25.237,0.2,0.401025932,0.4901999999999999,0.4906,1.24,10.78149736,173.36,1039.639,21.71044,-4.839937716050001,198.0,1.0,0.96,3.1407683638100004,97.86,0.0,1.2323,0.0,108.71,2.74,2.01,1.412,3747.5927317193,2.2,1038.0,1.0683,20.2041,-3.4613738671000003,174.82317999999998,3.95712017443,39.57347,0.76,2.6086,3.007,78.07,4.227009999999999,1097.7099999999998,28.25579,51.8,1.1318899999999998,9.974033333333,3.4867724948000003,28.5,42.91,32.9046,16.584999999999997,65.18,7.7263268,1398.0
27.55,0.25,0.21106628,0.44075,0.44075,0.7,10.5572728,204.4,1017.63,13.00044,-4.544984996,198.0,1.0,0.96,3.2829479104000003,95.3,0.0,1.2929999999999997,0.0,116.2,2.6075,3.8,1.3824999999999998,4675.932078652993,7.0,1210.0,1.116,22.978,-3.154622002,201.727725,4.136255178000001,38.0455,1.3,2.537,1.82,81.66,3.483,1159.36,28.4448,63.5,1.1886,12.2212,3.174698026,9.8,26.700000000000003,26.44625,10.579999999999998,61.0,8.0677035,2090.0
24.50612244897959,0.0,0.3267262448979591,0.4486,0.4488,1.3469387755102038,10.887975020408163,166.04,1050.0530612244895,23.91881632653061,-4.836637918265305,309.0,1.0,0.96,3.103138075734694,91.14285714285714,0.0,1.2453061224489794,0.0,106.42857142857142,3.4,1.9387755102040811,1.2679999999999998,3739.088110900911,3.0,1279.5918367346935,1.0506122448979591,19.476020408163265,-3.4159577779591834,291.36218,3.9097089822857134,40.22412244897959,0.693877551020408,2.656938775510204,3.881632653061224,89.77551020408161,5.085306122448979,1134.0816326530612,28.20204081632653,150.8,1.112142857142857,9.458367346938775,3.49236039,15.099999999999998,47.28571428571428,29.249,15.36938775510204,66.46938775510203,8.3411108,1446.938775510204
25.336,0.0,0.328724232,0.4514,0.4518,1.2800000000000002,10.768205,166.54,1038.718,21.72644,-4.7874217846,198.0,0.0,0.96,3.1456782906400003,94.6,0.0,1.2477999999999998,1.0,108.92,3.28,1.94,1.2759999999999998,3739.588361359413,3.2,1344.0,1.0702,20.4178,-3.3971612986000004,311.30218,3.96330629454,39.32026,0.72,2.6094,3.512,86.02,4.928599999999999,1155.04,28.216,107.2,1.1354,10.1392,3.386024054,15.099999999999998,42.3,28.825,15.66,65.2,8.2743948,1586.0
25.324,0.0,0.3201917199999999,0.4514,0.4518,1.3,10.7677772,166.54,1038.692,22.122440000000005,-4.7633198803,198.0,1.0,0.96,3.14482795802,93.9,0.0,1.2497999999999998,0.0,108.8,3.28,1.92,1.2759999999999998,3739.588361359413,3.2,1370.0,1.07,20.4081,-3.3710533428,311.30218,3.96223494256,39.37724,0.7,2.6104000000000003,3.646,86.94,4.976399999999999,1156.36,28.2102,107.2,1.1356400000000002,10.1212,3.3798024801999995,15.099999999999998,42.24,28.825,15.52,65.26,8.2743948,1600.0
25.324,0.0,0.3201917199999999,0.4514,0.4518,1.3,10.7677772,166.54,1038.692,22.122440000000005,-4.7633198803,198.0,0.0,0.96,3.14482795802,93.9,0.0,1.2497999999999998,0.0,108.8,3.28,1.92,1.2759999999999998,3739.588361359413,3.2,1370.0,1.07,20.4081,-3.3710533428,311.30218,3.96223494256,39.37724,0.7,2.6104000000000003,3.646,86.94,4.976399999999999,1156.36,28.2102,107.2,1.1356400000000002,10.1212,3.3798024801999995,15.099999999999998,42.24,28.825,15.52,65.26,8.2743948,1600.0
25.4072,0.0,0.3286343712,0.512,0.5124,1.2599999999999998,10.76919364,167.08,1038.5452,21.62204,-4.6951635965800005,198.0,1.0,0.96,3.146371692132,93.34,0.0,1.2512,0.0,108.768,3.12,1.94,1.2959999999999998,3740.989796947069,3.6,1271.6,1.07092,20.44318,-3.3010823082,234.24218,3.96417992566,39.395204,0.7399999999999999,2.60748,3.5827999999999998,85.40559999999999,4.65724,1118.204,28.22692,102.4,1.13772,10.1256,3.37880082916,16.4,42.284,28.769,15.552,64.71600000000001,8.2349228,1527.6
